"If you want to 100% check your qb vs this list, the only way I know is to copy/paste your qb from /qb list # command BELOW the last row of this column. Then do a Find and Replace under Edit, Find the following without quotes """" and replace with nothing. After you do this any qb you already have will be highlighted, you can then filter out these higlights using filter by color. (if you need help message Angrboa)",,,,,
Asherons Call Custom Quest QB List,QBs Tracked: 3959,,,,
Flag,Quest,Action,Notes,Server Side Definition,Completed
CallingStoneGiven,Training_Academy_Quest,Give Calling Stone to Society Greeter,Characters start with Calling stone,Turned over the Calling Stone,FALSE
CapAcademyPickup,Training_Academy_Quest,Pick up Cap in Academy,"Found to the right as you leave First room, on bench",Player has picked up the Academy Cap,FALSE
LeggingsAcademyPickUp,Training_Academy_Quest,Pick up Leggings in Academy,"Found to the right as you leave First room, on floor",Player has picked up the Academy Leggings,FALSE
GauntletsAcademyPickUp,Training_Academy_Quest,Pick up Gauntlets in Academy,"Found to the left as you leave First room, on floor",Player has picked up the Academy Gauntlets,FALSE
AcademyTokenGiven,Training_Academy_Quest,Give Academy Token to Training Master,Token Found on Golems,Turned over the Academy Token,FALSE
CarpWing,Training_Academy_Quest,Loot wing from Carpenter Wasp,Found in Tutorial Academy,Player has picked up a Carpenter Wasp wing in the Academy,FALSE
WaspWingGiven,Training_Academy_Quest,Give Carpenter Wing to Academy Foreman,Flag for Turn in,Player has handed over a Carpenter Wasp wing in the Academy,FALSE
WaspWingDone,Training_Academy_Quest,Give Carpenter Wing to Academy Foreman,Second flag for turn in,No more wasp wings for the Academy Collector,FALSE
BellowsNewbiePickedUp,Training_Academy_Quest,Pick up Bellows from Thrungus,In Tutorial Academy,Player has found the Blacksmith's bellows.,FALSE
ProtectionOrb,Training_Academy_Quest,Loot Protection orb from Adolescent Olthoi,2nd level of Tutorial academy,Picked up Protection Orb,FALSE
SentryTaskComplete,Training_Academy_Quest,Turn Protection Orb into Sentry,Entrance of 2nd level of Tutorial Academy,Sentry Task Completed,FALSE
LifestoneFound1111,Training_Academy_Quest,Talk to any starter town lifestone greeter,Lifestone Greeter,Player talked to lifestone greeter,FALSE
ToTheBarkeep,Training_Academy_Quest,Talk to any starter town lifestone greeter,Blue Armor,Sent to the Barkeep,FALSE
PathwardenFound1111,Training_Academy_Quest,Turn in Pathwarden Token to Any Pathwarden,,Player talked to pathwarden greeter,FALSE
PathwardenComplete,Training_Academy_Quest,Turn in Pathwarden Token to Any Pathwarden,"Pathwarden Title, near lifestone greeter",Visited the Pathwarden,FALSE
AcademeyExitTokenGiven,Training_Academy_Quest,Talk to Jonathan to Receive Exit Token,,Recived the Acadmey Exit Token,FALSE
ToPathwarden,Training_Academy_Quest,Talk to Blue Armor NPC in Bar,,Sent to the Pathwarden,FALSE
BartenderFound1111,Training_Academy_Quest,Talk to Blue Armor NPC in Bar,,Player talked to bartender greeter,FALSE
ChestQuestUnlockedLowDrudgeHideout,Alfrin's_Stolen_Supplies,Open Runed Chest in Drudge Hideout,In room with Drudge Robber Baron,Opened a ChestQuestUnlockedLowDrudgeHideout.,FALSE
HoltburgAfrinCorn1204,Alfrin's_Stolen_Supplies,Loot Bag of Corn,,Retreive Alfrin's Bag of Corn Seed,FALSE
HoltburgAfrinRye1204,Alfrin's_Stolen_Supplies,Loot Bag of Rye,,Retreive Alfrin's Bag of Rye Seed,FALSE
